字號,字,聲母,韻母,調值,調類,備註
1,東,t,oŋ,55,陰平,
2,菄,t,oŋ,55,陰平,
18,同,t,oŋ,342,陽平,
19,仝,t,oŋ,342,陽平,
20,童,t,oŋ,342,陽平,
22,銅,t,oŋ,342,陽平,
23,桐,t,oŋ,342,陽平,
28,筒,t,oŋ,342,陽平,
29,瞳,t,oŋ,342,陽平,
63,中,ts,oŋ,55,陰平,
65,忠,ts,oŋ,55,陰平,
67,蟲,ts,oŋ,342,陽平,
75,終,ts,oŋ,55,陰平,
93,崇,ts,oŋ,342,陽平,
94,崈,ts,oŋ,342,陽平,
97,嵩,s,oŋ,55,陰平,
98,崧,s,oŋ,55,陰平,
106,戎,n,ioŋ,342,陽平,
107,𢦦,n,ioŋ,342,陽平,
113,狨,n,ioŋ,342,陽平,
114,絨,n,ioŋ,342,陽平,
115,弓,k,oŋ,55,陰平,
116,躳,k,oŋ,55,陰平,
117,躬,k,oŋ,55,陰平,
119,宮,k,oŋ,55,陰平,
121,融,0,ioŋ,342,陽平,
122,融,0,ioŋ,342,陽平,
125,雄,h,oŋ,342,陽平,
126,熊,h,oŋ,342,陽平,
140,窮,k,oŋ,342,陽平,
143,馮,f,oŋ,342,陽平,
150,風,f,oŋ,55,陰平,
151,飌,f,oŋ,55,陰平,
152,楓,f,oŋ,55,陰平,
157,豐,f,oŋ,55,陰平,
165,充,tsʰ,oŋ,55,陰平,
172,隆,l,oŋ,342,陽平,
178,空,h,oŋ,55,陰平,
192,公,k,oŋ,55,陰平,
193,功,k,oŋ,55,陰平,
194,工,k,oŋ,55,陰平,
196,蚣,k,oŋ,55,陰平,
200,攻,k,oŋ,55,陰平,
205,蒙,m,oŋ,342,陽平,
232,籠,l,oŋ,342,陽平,
240,聾,l,oŋ,342,陽平,
259,洪,h,oŋ,342,陽平,
262,紅,h,oŋ,342,陽平,
263,虹,h,oŋ,342,陽平,
265,鴻,h,oŋ,342,陽平,
282,叢,ts,oŋ,342,陽平,
283,藂,ts,oŋ,342,陽平,
287,翁,0,oŋ,55,陰平,
295,怱,tsʰ,oŋ,55,陰平,
296,忩,tsʰ,oŋ,55,陰平,
297,葱,tsʰ,oŋ,55,陰平,
300,聦,tsʰ,oŋ,55,陰平,
305,囪,tsʰ,oŋ,55,陰平,
310,通,tʰ,oŋ,55,陰平,
326,椶,ts,oŋ,55,陰平,
327,騣,ts,oŋ,55,陰平,
341,蓬,p,oŋ,342,陽平,
343,篷,p,oŋ,342,陽平,
351,烘,h,oŋ,55,陰平,
361,冬,t,oŋ,55,陰平,
362,𡘬,t,oŋ,55,陰平,
369,疼,t,ɐŋ,342,陽平,
401,農,n,oŋ,342,陽平,
402,䢉,n,oŋ,342,陽平,
403,辳,n,oŋ,342,陽平,
404,𨑋,n,oŋ,342,陽平,
410,儂,n,oŋ,342,陽平,
411,𧗕,n,oŋ,342,陽平,
412,膿,n,oŋ,342,陽平,
422,宗,ts,oŋ,55,陰平,
424,鬆,s,oŋ,55,陰平,
425,䯳,s,oŋ,55,陰平,
427,鍾,ts,oŋ,55,陰平,
428,鐘,ts,oŋ,55,陰平,
445,龍,l,ioŋ,342,陽平,
445,龍,l,oŋ,342,陽平,
454,舂,ts,oŋ,55,陰平,
460,松,ts,oŋ,342,陽平,
461,㮤,ts,oŋ,342,陽平,
464,𧘂,tsʰ,oŋ,55,陰平,
465,衝,tsʰ,oŋ,55,陰平,
475,容,0,ioŋ,342,陽平,
478,庸,0,ioŋ,342,陽平,
479,𦤘,0,ioŋ,342,陽平,
484,鎔,0,ioŋ,342,陽平,
493,蓉,0,ioŋ,342,陽平,
510,封,f,oŋ,55,陰平,
511,𡉚,f,oŋ,55,陰平,
515,胷,h,oŋ,55,陰平,
516,凶,h,oŋ,55,陰平,
517,𣧑,h,oŋ,55,陰平,
522,兇,h,oŋ,55,陰平,
530,雍,0,ioŋ,55,陰平,
536,癰,0,ioŋ,55,陰平,
547,濃,n,oŋ,342,陽平,
547,濃,n,ioŋ,342,陽平,
553,重,ts,oŋ,342,陽平,
560,從,s,oŋ,342,陽平,
561,从,s,oŋ,342,陽平,
570,逢,f,oŋ,342,陽平,
571,縫,f,oŋ,342,陽平,
578,峯,f,oŋ,55,陰平,
579,鋒,f,oŋ,55,陰平,
584,蠭,f,oŋ,55,陰平,
585,蜂,f,oŋ,55,陰平,
586,𧒒,f,oŋ,55,陰平,
595,縱,ts,oŋ,53,陰去,
597,蹤,ts,oŋ,55,陰平,
604,茸,n,ioŋ,342,陽平,
633,恭,k,oŋ,55,陰平,
635,供,k,oŋ,55,陰平,
652,從,ts,oŋ,55,陰平,
664,江,k,ɔ,55,陰平,
664,江,k,ɔŋ,55,陰平,
665,扛,kʰ,ɔŋ,35,陰上,
666,杠,k,ɔ,53,陰去,
666,杠,k,ɔŋ,53,陰去,
670,豇,k,ɔŋ,55,陰平,
698,䆫,tsʰ,e,55,陰平,
698,䆫,tsʰ,eŋ,55,陰平,
699,牎,tsʰ,eŋ,55,陰平,
699,牎,tsʰ,e,55,陰平,
700,窓,tsʰ,e,55,陰平,
700,窓,tsʰ,eŋ,55,陰平,
706,邦,p,ɔŋ,55,陰平,
707,𤰫,p,ɔŋ,55,陰平,
712,降,h,ɔŋ,342,陽平,
712,降,h,ɔ,342,陽平,
713,缸,k,ɔŋ,55,陰平,
713,缸,k,ɔ,55,陰平,
714,瓨,k,ɔŋ,55,陰平,
714,瓨,k,ɔ,55,陰平,
725,雙,s,ɔŋ,55,陰平,
725,雙,s,ɔ,55,陰平,
732,龐,p,ɔŋ,342,陽平,
742,腔,h,ɔŋ,55,陰平,
743,𤟄,h,ɔŋ,55,陰平,
744,羫,h,ɔŋ,55,陰平,
772,支,ts,i,55,陰平,
778,栀,ts,i,55,陰平,
779,枝,ts,i,55,陰平,
783,肢,ts,i,55,陰平,
784,胑,ts,i,55,陰平,
785,𨈛,ts,i,55,陰平,
798,眵,tsʰ,i,55,陰平,
801,移,0,i,342,陽平,
802,䄬,0,i,342,陽平,
833,爲,0,uɐi,342,陽平,
834,為,0,uɐi,342,陽平,
841,𪎮,f,ɐi,55,陰平,
842,麾,f,ɐi,55,陰平,
849,萎,0,uɐi,35,陰上,
858,糜,m,i,342,陽平,
877,錘,ts,oi,342,陽平,
879,𡍮,s,oi,342,陽平,
880,垂,s,oi,342,陽平,
891,吹,tsʰ,oi,55,陰平,
892,炊,tsʰ,oi,55,陰平,
897,披,pʰ,i,55,陰平,
908,碑,p,i,55,陰平,
917,隨,ts,oi,342,陽平,
920,虧,kʰ,uɐi,55,陰平,
921,闚,kʰ,uɐi,55,陰平,
922,窺,kʰ,uɐi,55,陰平,
923,奇,k,i,342,陽平,
925,騎,k,e,342,陽平,
936,岐,k,i,342,陽平,
959,犧,h,i,55,陰平,
988,宜,n,i,342,陽平,
989,宐,n,i,342,陽平,
990,𡪀,n,i,342,陽平,
991,𡨆,n,i,342,陽平,
992,儀,n,i,342,陽平,
993,𥫃,n,i,342,陽平,
999,皮,p,i,342,陽平,
1000,疲,p,i,342,陽平,
1008,匙,s,i,342,陽平,
1018,兒,n,i,342,陽平,
1019,𠒆,n,i,342,陽平,
1022,離,l,i,342,陽平,
1023,籬,l,i,342,陽平,
1026,璃,l,i,55,陰平,
1059,疵,tsʰ,i,55,陰平,
1093,卑,p,i,55,陰平,
1107,脾,p,i,342,陽平,
1121,施,s,i,55,陰平,
1131,斯,s,i,55,陰平,
1136,廝,s,i,55,陰平,
1137,㒋,s,i,55,陰平,
1157,差,tsʰ,a,55,陰平,
1171,彌,m,i,342,陽平,
1172,𢏏,m,i,342,陽平,
1188,雌,tsʰ,i,35,陰上,
1193,知,ts,i,55,陰平,
1194,䵹,ts,i,55,陰平,
1195,鼅,ts,i,55,陰平,
1196,蜘,ts,i,55,陰平,
1210,馳,ts,i,342,陽平,
1212,池,ts,i,342,陽平,
1225,危,ŋ,ɐi,342,陽平,
