字號,字,聲母,韻母,調值,調類,備註
21973,渴,kʰ,uo,55,入聲,
21974,㵣,kʰ,uo,55,入聲,
21981,達,t,a,55,入聲,
22019,攃,tsʰ,a,55,入聲,
22026,末,m,o,55,入聲,
22099,闊,kʰ,uo,55,入聲,
22105,活,x,uo,55,入聲,
22156,脫,tʰ,uo,55,入聲,
22211,拔,p,a,55,入聲,
22226,滑,x,ua,55,入聲,
22253,穵,v,a,55,入聲,
22297,殺,s,a,55,入聲,
22355,瞎,ɕ,ia,55,入聲,
22360,刮,k,ua,55,入聲,
22377,刷,s,ua,55,入聲,
22397,𨰉,ts,a,55,入聲,
22425,結,tɕ,ie,55,入聲,
22440,節,tɕ,ie,55,入聲,
22453,血,ɕ,ie,55,入聲,
22467,缺,tɕʰ,ye,55,入聲,
22541,鐵,tʰ,ie,55,入聲,
22542,銕,tʰ,ie,55,入聲,
22693,薛,ɕ,ye,55,入聲,
22732,哲,ts,ʌ,55,入聲,
22733,悊,ts,ʌ,55,入聲,
22734,喆,ts,ʌ,55,入聲,
22735,嚞,ts,ʌ,55,入聲,
22737,傑,tɕ,ie,55,入聲,
22751,熱,z,ʌ,55,入聲,
22762,舌,s,ʌ,55,入聲,
22779,滅,m,ie,55,入聲,
22793,絕,tɕ,ye,55,入聲,
22797,雪,ɕ,ie,55,入聲,
22798,䨮,ɕ,ie,55,入聲,
22817,說,s,uo,55,入聲,
22935,藥,0,yo,55,入聲,
22976,腳,tɕ,yo,55,入聲,
22977,脚,tɕ,yo,55,入聲,
23005,弱,z,uo,55,入聲,
23050,嚼,tɕ,yo,55,入聲,
23098,著,ts,uo,55,入聲,
23104,著,ts,uo,55,入聲,
23148,落,l,uo,55,入聲,
23213,各,k,o,55,入聲,
23261,惡,0,uo,55,入聲,惡人。
23262,𢙣,0,uo,55,入聲,惡人。
23268,薄,p,o,55,入聲,
23288,索,s,uo,55,入聲,
23358,郭,k,uo,55,入聲,
23359,𩫏,k,uo,55,入聲,
23360,𨟍,k,uo,55,入聲,
23424,白,p,ʌ,55,入聲,
23432,百,p,ʌ,55,入聲,
23464,窄,ts,ʌ,55,入聲,
23495,客,kʰ,ʌ,55,入聲,
23580,麥,m,ʌ,55,入聲,
23588,獲,x,uo,55,入聲,
23641,策,tsʰ,ʌ,55,入聲,
23696,革,k,ʌ,55,入聲,
23707,摘,ts,ʌ,55,入聲,
23925,疫,0,i,55,入聲,
23950,碧,p,i,55,入聲,
24112,踢,tʰ,i,55,入聲,
24170,壁,p,i,55,入聲,
24217,織,ts,ɿ,55,入聲,
24223,直,ts,ɿ,55,入聲,
24227,力,l,i,55,入聲,
24255,息,ɕ,i,55,入聲,
24293,極,tɕ,i,55,入聲,
24323,色,s,ʌ,55,入聲,
24410,域,0,y,55,入聲,
24485,德,t,ʌ,55,入聲,
24486,惪,t,ʌ,55,入聲,
24515,刻,kʰ,ʌ,55,入聲,
24529,黑,x,ʌ,55,入聲,
24544,賊,ts,ʌ,55,入聲,
24544,賊,ts,ei,45,陽平,
24545,𧵪,ts,ei,45,陽平,
24545,𧵪,ts,ʌ,55,入聲,
24556,北,p,ʌ,55,入聲,
24571,或,x,uo,55,入聲,
24576,國,k,uo,55,入聲,
24598,十,s,ɿ,55,入聲,
24621,集,tɕ,i,55,入聲,
24630,入,z,u,55,入聲,
24676,急,tɕ,i,55,入聲,
24789,答,t,a,55,入聲,
24853,雜,ts,a,55,入聲,
24881,納,n,a,55,入聲,
24909,欱,x,uo,55,入聲,喝水。
24975,塔,tʰ,a,55,入聲,
25016,磕,kʰ,uo,55,入聲,
25031,葉,0,ie,55,入聲,
25041,接,tɕ,ie,55,入聲,
25060,涉,s,ʌ,55,入聲,
25061,𣻣,s,ʌ,55,入聲,
25201,貼,tʰ,ie,55,入聲,
25324,狹,ɕ,ia,55,入聲,狹窄。
25325,陜,ɕ,ia,55,入聲,狹窄。
25326,陿,ɕ,ia,55,入聲,狹窄。
25352,夾,tɕ,ia,55,入聲,夾袄。
25373,插,tsʰ,a,55,入聲,
25424,鴨,0,ia,55,入聲,
25430,甲,tɕ,ia,55,入聲,
25454,業,0,ie,55,入聲,
25455,㸣,0,ie,55,入聲,
25496,腌,0,iæ̃,213,陰平,
25497,䱒,0,iæ̃,213,陰平,
25520,法,x,ua,55,入聲,
25521,灋,x,ua,55,入聲,
