字號,字,聲母,韻母,調值,調類,備註
1,東,t,oŋ,55,陰平,
1,東,t,oŋ,35,陰平,
2,菄,t,oŋ,35,陰平,
2,菄,t,oŋ,55,陰平,
18,同,tʰ,oŋ,21,陽平,
19,仝,tʰ,oŋ,21,陽平,
20,童,tʰ,oŋ,21,陽平,
22,銅,tʰ,oŋ,21,陽平,
23,桐,tʰ,oŋ,21,陽平,
28,筒,tʰ,oŋ,21,陽平,
29,瞳,tʰ,oŋ,21,陽平,
63,中,ts,oŋ,55,陰平,當中。
65,忠,ts,oŋ,55,陰平,
67,蟲,tsʰ,oŋ,21,陽平,
75,終,ts,oŋ,55,陰平,
75,終,ts,oŋ,35,陰平,
93,崇,s,oŋ,21,陽平,
94,崈,s,oŋ,21,陽平,
97,嵩,s,oŋ,35,陰平,
98,崧,s,oŋ,35,陰平,
106,戎,(j),ioŋ,21,陽平,
107,𢦦,(j),ioŋ,21,陽平,
113,狨,(j),ioŋ,21,陽平,
114,絨,(j),ioŋ,21,陽平,
115,弓,k,oŋ,55,陰平,
116,躳,k,oŋ,55,陰平,
117,躬,k,oŋ,55,陰平,
119,宮,k,oŋ,55,陰平,
121,融,(j),ioŋ,21,陽平,
122,融,(j),ioŋ,21,陽平,
125,雄,h,oŋ,21,陽平,
126,熊,(j),ioŋ,21,陽平,
126,熊,h,oŋ,21,陽平,
140,窮,kʰ,oŋ,21,陽平,
143,馮,f,oŋ,21,陽平,
150,風,f,oŋ,55,陰平,
150,風,f,oŋ,35,陰平,
151,飌,f,oŋ,35,陰平,
151,飌,f,oŋ,55,陰平,
152,楓,f,oŋ,55,陰平,
157,豐,f,oŋ,55,陰平,
165,充,tsʰ,oŋ,55,陰平,
172,隆,l,oŋ,21,陽平,
178,空,h,oŋ,55,陰平,空虛。
178,空,h,oŋ,35,陰平,
192,公,k,oŋ,55,陰平,
192,公,k,oŋ,35,陰平,
193,功,k,oŋ,55,陰平,
194,工,k,oŋ,35,陰平,
194,工,k,oŋ,55,陰平,
196,蚣,k,oŋ,55,陰平,蜈蚣。
200,攻,k,oŋ,35,陰平,
200,攻,k,oŋ,55,陰平,攻擊。
205,蒙,m,oŋ,21,陽平,
232,籠,l,oŋ,21,陽平,
240,聾,l,oŋ,21,陽平,
259,洪,h,oŋ,21,陽平,
262,紅,h,oŋ,21,陽平,
263,虹,h,oŋ,21,陽平,
265,鴻,h,oŋ,21,陽平,
282,叢,tsʰ,oŋ,21,陽平,
283,藂,tsʰ,oŋ,21,陽平,
287,翁,(j),ioŋ,55,陰平,
295,怱,tsʰ,oŋ,55,陰平,
296,忩,tsʰ,oŋ,55,陰平,
297,葱,tsʰ,oŋ,55,陰平,
300,聦,tsʰ,oŋ,55,陰平,
305,囪,tsʰ,oŋ,55,陰平,煙囪。
310,通,tʰ,oŋ,35,陰平,
310,通,tʰ,oŋ,55,陰平,
326,椶,ts,oŋ,55,陰平,
327,騣,ts,oŋ,55,陰平,馬鬃。
341,蓬,pʰ,oŋ,21,陽平,
343,篷,f,oŋ,21,陽平,
351,烘,h,oŋ,35,陰平,烘乾。
361,冬,t,oŋ,35,陰平,
361,冬,t,oŋ,55,陰平,
362,𡘬,t,oŋ,55,陰平,
362,𡘬,t,oŋ,35,陰平,
369,疼,tʰ,ɐŋ,21,陽平,
401,農,n,oŋ,21,陽平,
402,䢉,n,oŋ,21,陽平,
403,辳,n,oŋ,21,陽平,
404,𨑋,n,oŋ,21,陽平,
410,儂,n,oŋ,21,陽平,我、你。
411,𧗕,n,oŋ,21,陽平,
412,膿,n,oŋ,21,陽平,
422,宗,ts,oŋ,55,陰平,
422,宗,ts,oŋ,35,陰平,
424,鬆,s,oŋ,35,陰平,
424,鬆,s,oŋ,55,陰平,
425,䯳,s,oŋ,35,陰平,
425,䯳,s,oŋ,55,陰平,
427,鍾,ts,oŋ,55,陰平,鍾、盅讀音亦同。
428,鐘,ts,oŋ,55,陰平,
445,龍,l,oŋ,21,陽平,
454,舂,ts,oŋ,55,陰平,舂米。
460,松,tsʰ,oŋ,21,陽平,
461,㮤,tsʰ,oŋ,21,陽平,
464,𧘂,tsʰ,oŋ,55,陰平,
465,衝,tsʰ,oŋ,55,陰平,
475,容,(j),ioŋ,21,陽平,
478,庸,(j),ioŋ,21,陽平,
479,𦤘,(j),ioŋ,21,陽平,
484,鎔,(j),ioŋ,21,陽平,
493,蓉,(j),ioŋ,21,陽平,芙蓉。
510,封,f,oŋ,35,陰平,
510,封,f,oŋ,55,陰平,
511,𡉚,f,oŋ,55,陰平,
511,𡉚,f,oŋ,35,陰平,
512,犎,f,,,,
515,胷,h,oŋ,55,陰平,
516,凶,h,oŋ,55,陰平,吉凶。
517,𣧑,h,oŋ,55,陰平,吉凶。
522,兇,h,oŋ,55,陰平,兇惡。
530,雍,(j),ioŋ,55,陰平,
536,癰,(j),ioŋ,55,陰平,
547,濃,n,oŋ,21,陽平,
553,重,tsʰ,oŋ,21,陽平,重復。
560,從,tsʰ,oŋ,21,陽平,跟從。
561,从,tsʰ,oŋ,21,陽平,跟從。
570,逢,f,oŋ,21,陽平,
571,縫,f,oŋ,21,陽平,縫衣服。
578,峯,f,oŋ,55,陰平,
579,鋒,f,oŋ,55,陰平,
584,蠭,f,oŋ,55,陰平,
584,蠭,f,oŋ,35,陰平,
585,蜂,f,oŋ,35,陰平,
585,蜂,f,oŋ,55,陰平,
586,𧒒,f,oŋ,35,陰平,
586,𧒒,f,oŋ,55,陰平,
595,縱,ts,oŋ,55,陰平,縱橫。
597,蹤,ts,oŋ,55,陰平,
