字號,字,聲母,韻母,調值,調類,備註
67,蟲,tʂʰ,oŋ,35,陽平,
113,狨,0,ioŋ,35,陽平,
114,絨,0,ioŋ,35,陽平,
115,弓,k,oŋ,31,陰平,
125,雄,ɕ,ioŋ,35,陽平,
157,豐,f,oŋ,31,陰平,
165,充,tʂʰ,oŋ,31,陰平,
192,公,k,oŋ,31,陰平,
262,紅,x,oŋ,35,陽平,
287,翁,0,uoŋ,31,陰平,
297,葱,tsʰ,oŋ,31,陰平,
310,通,tʰ,oŋ,31,陰平,
343,篷,pʰ,oŋ,35,陽平,
361,冬,t,oŋ,31,陰平,
362,𡘬,t,oŋ,31,陰平,
424,鬆,s,oŋ,31,陰平,鬆緊。
425,䯳,s,oŋ,31,陰平,鬆緊。
428,鐘,tʂ,oŋ,31,陰平,
445,龍,n,oŋ,35,陽平,
460,松,s,oŋ,31,陰平,松樹。
461,㮤,s,oŋ,31,陰平,松樹。
547,濃,n,oŋ,35,陽平,
584,蠭,f,oŋ,31,陰平,
585,蜂,f,oŋ,31,陰平,
586,𧒒,f,oŋ,31,陰平,
633,恭,k,oŋ,31,陰平,
698,䆫,tɕʰ,yɑ̃,31,陰平陰平,
698,䆫,tʂʰ,uɑ̃,31,陰平陰平,
699,牎,tɕʰ,yɑ̃,31,陰平,
699,牎,tʂʰ,uɑ̃,31,陰平,
700,窓,tɕʰ,yɑ̃,31,陰平,
700,窓,tʂʰ,uɑ̃,31,陰平,
706,邦,p,ɑ̃,31,陰平,
707,𤰫,p,ɑ̃,31,陰平,
725,雙,ɕ,yɑ̃,31,陰平,
725,雙,ʂ,uɑ̃,31,陰平,
772,支,tʂ,ʅ,31,陰平,
891,吹,tɕʰ,yei,31,陰平,
908,碑,p,ei,31,陰平,
925,騎,tɕʰ,i,35,陽平,
959,犧,ɕ,i,31,陰平,
999,皮,pʰ,i,35,陽平,
1018,兒,0,ɚ,35,陽平,
1019,𠒆,0,ɚ,35,陽平,
1193,知,tʂ,ʅ,31,陰平,
1225,危,0,uei,35,陽平,
1288,姨,0,i,35,陽平,
1314,師,s,ɿ,31,陰平,
1317,篩,s,ɛ,31,陰平,篩子。
1344,資,ts,ɿ,31,陰平,
1358,飢,tɕ,i,31,陰平,
1410,遲,tʂʰ,ʅ,35,陽平,
1411,遟,tʂʰ,ʅ,35,陽平,
1460,葵,kʰ,uei,35,陽平,
1468,追,tɕ,yei,31,陰平,
1471,龜,k,uei,31,陰平,
1472,龜,k,uei,31,陰平,
1473,𠃾,k,uei,31,陰平,
1484,衰,ɕ,yɛ,31,陰平,
1514,雖,s,ei,31,陰平,
1718,詩,ʂ,ʅ,31,陰平,
1759,基,tɕ,i,31,陰平,
1825,醫,0,i,31,陰平,
1826,毉,0,i,31,陰平,
1880,徽,x,uei,31,陰平,
1914,飛,f,ei,31,陰平,
1925,肥,f,ei,35,陽平,
1986,稀,ɕ,i,31,陰平,
1995,衣,0,i,31,陰平,
2010,魚,0,y,35,陽平,
2011,𩺰,0,y,35,陽平,
2020,初,tsʰ,u,31,陰平,
2022,書,ɕ,y,31,陰平,
2029,居,tɕ,y,31,陰平,
2069,余,0,y,35,陽平,節余。
2118,蛆,tɕʰ,y,31,陰平,
2125,鉏,tsʰ,u,35,陽平,
2126,鋤,tsʰ,u,35,陽平,
2152,徐,tɕʰ,y,35,陽平,
2161,豬,tɕ,y,31,陰平,
2162,䐗,tɕ,y,31,陰平,
2163,猪,tɕ,y,31,陰平,
2191,除,tɕʰ,y,35,陽平,
2204,如,0,y,35,陽平,
2378,須,ɕ,y,31,陰平,
2833,蘇,s,u,31,陰平,
2888,麁,tsʰ,u,31,陰平,
2893,粗,tsʰ,u,31,陰平,
2935,犂,n,i,35,陽平,
2936,𤛿,n,i,35,陽平,
2955,妻,tɕʰ,i,31,陰平,
3066,雞,tɕ,i,31,陰平,
3067,鷄,tɕ,i,31,陰平,
3146,梯,tʰ,ei,31,陰平,
3146,梯,tʰ,i,31,陰平,
3191,泥,n,i,35,陽平,
3192,埿,n,i,35,陽平,
3264,街,tɕ,ɛ,31,陰平,
3264,街,k,ie,31,陰平,
3268,鞵,x,ɛ,35,陽平,
3269,鞋,x,ɛ,35,陽平,
3273,牌,pʰ,ɛ,35,陽平,
3295,柴,tsʰ,ɛ,35,陽平,
