字號,字,聲母,韻母,調值,調類,備註
1,東,t,ɛ,22,陰平,
2,菄,t,ɛ,22,陰平,
18,同,t,ɛ,55,陽平,
19,仝,t,ɛ,55,陽平,
20,童,t,ɛ,55,陽平,
22,銅,t,ɛ,55,陽平,
23,桐,t,ɛ,55,陽平,
28,筒,t,ɛ,55,陽平,
63,中,t,ɛ,22,陰平,中間。
63,中,ts,e,22,陰平,中間。
65,忠,ts,e,22,陰平,
67,蟲,tsʰ,e,55,陽平,
75,終,ts,e,22,陰平,
93,崇,s,ɛ,55,陽平,
94,崈,s,ɛ,55,陽平,
113,狨,0,ie,55,陽平,
114,絨,0,ie,55,陽平,
115,弓,k,e,22,陰平,
116,躳,k,e,22,陰平,
117,躬,k,e,22,陰平,
119,宮,kʰ,e,22,陰平,不符合該方言古今對應規律。
121,融,0,ie,55,陽平,
122,融,0,ie,55,陽平,
125,雄,h,ɛ,55,陽平,
126,熊,h,ɛ,55,陽平,
140,窮,kʰ,e,55,陽平,
143,馮,f,ɛ,55,陽平,
150,風,f,ɛ,22,陰平,
151,飌,f,ɛ,22,陰平,
152,楓,f,ɛ,22,陰平,
157,豐,f,ɛ,22,陰平,
165,充,tsʰ,e,22,陰平,
172,隆,l,ɛ,55,陽平,
178,空,h,ɛ,22,陰平,空氣。
192,公,k,e,22,陰平,
193,功,k,e,22,陰平,
194,工,k,e,22,陰平,
200,攻,k,e,22,陰平,
205,蒙,m,ɛ,55,陽平,
232,籠,l,ɛ,55,陽平,
240,聾,l,ɛ,55,陽平,
259,洪,h,ɛ,55,陽平,
262,紅,h,ɛ,55,陽平,
263,虹,h,ɛ,55,陽平,
265,鴻,h,ɛ,55,陽平,
282,叢,tsʰ,ɛ,55,陽平,
283,藂,tsʰ,ɛ,55,陽平,
287,翁,0,uɛ,22,陰平,
295,怱,tsʰ,ɛ,22,陰平,
296,忩,tsʰ,ɛ,22,陰平,
297,葱,tsʰ,ɛ,22,陰平,
300,聦,tsʰ,ɛ,22,陰平,
310,通,tʰ,ɛ,22,陰平,
326,椶,ts,ɛ,22,陰平,
341,蓬,p,ɛ,55,陽平,
343,篷,p,ɛ,55,陽平,
361,冬,t,ɛ,22,陰平,
362,𡘬,t,ɛ,22,陰平,
401,農,n,ɛ,55,陽平,
402,䢉,n,ɛ,55,陽平,
403,辳,n,ɛ,55,陽平,
404,𨑋,n,ɛ,55,陽平,
411,𧗕,n,ɛ,55,陽平,
412,膿,n,ɛ,55,陽平,
422,宗,ts,ɛ,22,陰平,
424,鬆,s,ɛ,22,陰平,輕鬆。
425,䯳,s,ɛ,22,陰平,輕鬆。
428,鐘,ts,e,22,陰平,時鐘。
445,龍,l,ɛ,55,陽平,
454,舂,ts,e,22,陰平,
460,松,tsʰ,ɛ,55,陽平,松木。
461,㮤,tsʰ,ɛ,55,陽平,松木。
464,𧘂,tsʰ,e,22,陰平,沖水。
465,衝,tsʰ,e,22,陰平,沖水。
475,容,0,ie,55,陽平,
510,封,f,ɛ,22,陰平,
511,𡉚,f,ɛ,22,陰平,
515,胷,h,ɛ,22,陰平,
516,凶,h,ɛ,22,陰平,凶吉。
517,𣧑,h,ɛ,22,陰平,凶吉。
530,雍,0,uɛ,22,陰平,
547,濃,ȵ,ie,55,陽平,
547,濃,n,ɛ,55,陽平,
553,重,tsʰ,ɛ,55,陽平,重複。
560,從,tsʰ,ɛ,55,陽平,
561,从,tsʰ,ɛ,55,陽平,
570,逢,f,ɛ,55,陽平,
571,縫,f,ɛ,55,陽平,縫衣。
578,峯,f,ɛ,22,陰平,
579,鋒,f,ɛ,22,陰平,
584,蠭,f,ɛ,22,陰平,
585,蜂,f,ɛ,22,陰平,
586,𧒒,f,ɛ,22,陰平,
595,縱,ts,ɛ,11,陰去,縱橫。不符合該方言古今對應規律。
597,蹤,ts,ɛ,22,陰平,
604,茸,0,ie,55,陽平,
633,恭,k,e,22,陰平,
635,供,k,e,22,陰平,供給。
664,江,k,o,22,陰平,
698,䆫,tsʰ,o,22,陰平,tsʰe22不符合該方言古今對應規律。
698,䆫,tsʰ,e,22,陰平,tsʰe22不符合該方言古今對應規律。
699,牎,tsʰ,e,22,陰平,tsʰe22不符合該方言古今對應規律。
699,牎,tsʰ,o,22,陰平,tsʰe22不符合該方言古今對應規律。
700,窓,tsʰ,e,22,陰平,tsʰe22不符合該方言古今對應規律。
700,窓,tsʰ,o,22,陰平,tsʰe22不符合該方言古今對應規律。
706,邦,p,o,22,陰平,
707,𤰫,p,o,22,陰平,
712,降,h,o,55,陽平,投降。
713,缸,k,o,22,陰平,
714,瓨,k,o,22,陰平,
725,雙,s,o,22,陰平,
732,龐,p,o,55,陽平,
742,腔,h,ɛ,22,陰平,不符合該方言古今對應規律。
743,𤟄,h,ɛ,22,陰平,不符合該方言古今對應規律。
744,羫,h,ɛ,22,陰平,不符合該方言古今對應規律。
765,樁,ts,o,22,陰平,
772,支,ts,i,22,陰平,
779,枝,ts,i,22,陰平,
801,移,0,i,55,陽平,
802,䄬,0,i,55,陽平,
834,為,0,uAi,55,陽平,作為。
877,錘,tsʰ,y,55,陽平,
879,𡍮,s,ɔi,55,陽平,
880,垂,s,ɔi,55,陽平,
891,吹,tsʰ,y,22,陰平,
892,炊,tsʰ,ɔi,22,陰平,
897,披,pʰ,A,22,陰平,
908,碑,p,Ai,22,陰平,
917,隨,tsʰ,ɔi,55,陽平,
920,虧,kʰ,uAi,22,陰平,
923,奇,kʰ,Ai,55,陽平,
925,騎,kʰ,A,55,陽平,
959,犧,kʰ,Ai,22,陰平,不符合該方言古今對應規律。
988,宜,ȵ,i,55,陽平,
989,宐,ȵ,i,55,陽平,
990,𡪀,ȵ,i,55,陽平,
991,𡨆,ȵ,i,55,陽平,
992,儀,ȵ,i,55,陽平,
993,𥫃,ȵ,i,55,陽平,
999,皮,p,Ai,55,陽平,
1000,疲,p,Ai,55,陽平,
1018,兒,0,y,55,陽平,
1018,兒,l,y,55,陽平,
1019,𠒆,l,y,55,陽平,
1019,𠒆,0,y,55,陽平,
1022,離,l,Ai,55,陽平,
1093,卑,p,Ai,22,陰平,
1107,脾,p,Ai,55,陽平,
1121,施,s,i,22,陰平,
